0,1,2,3,4,5,6,7,8,9,10,11,12
-480.99026,115.057724,-46.827347,5.5967374,-0.44646418,17.317524,-14.861464,22.490404,-21.280659,9.60627,-6.7788153,9.801875,-20.75893
-315.4792,192.43216,-9.619224,8.971087,15.778547,0.3181481,-4.8186874,10.739716,5.0163603,-13.869496,-19.269909,-10.163966,-11.898776
-309.96033,141.41862,-20.350513,25.996124,40.68749,23.07359,-9.0140505,5.4859066,-9.12457,-6.517793,-4.1519403,-6.9521184,-17.524763
-296.37964,161.15497,-17.615786,10.764558,15.898614,-8.1926565,-18.929676,6.545245,4.4469595,-8.688669,-11.5768385,0.5912518,-14.473506
-340.13824,142.03159,-8.758757,15.878636,26.884872,16.559982,-5.3288145,0.034146715,0.5392334,-7.7839155,-8.160109,-7.5175204,-17.649647
-259.23114,191.1278,1.5792623,31.40813,15.816374,4.5334764,-16.41579,18.156647,8.744195,-16.62985,-22.230513,-6.836325,-18.279934
-308.496,168.1447,-12.03392,18.227509,21.89285,8.964525,-9.77778,9.334109,0.017575894,-5.8457026,-7.460142,-9.110664,-15.74238
-332.31076,137.17946,-23.193655,10.411909,11.249031,-2.422336,-8.854293,13.881035,-3.3416407,-3.9940102,-7.934461,-7.3755097,-8.5615835
-267.80276,166.24377,-6.9740944,31.95525,13.5765705,7.071717,-18.884544,12.531602,4.303848,-8.599914,-8.530104,-6.616704,-17.332338
-268.33173,197.12,-8.380876,9.316886,14.577499,0.5574147,-20.984821,12.901888,1.0339935,-4.404919,-12.680517,-3.720101,-12.221105
-336.0286,141.32466,-26.209745,21.20679,16.735899,18.621878,-2.2080843,1.5804332,-4.1088386,3.234272,-2.7102973,-8.877292,-11.249038
-283.53546,145.03227,-18.25508,26.072313,25.750343,22.26703,-6.1281295,1.7664161,-4.6953874,-12.590947,-13.034118,-5.3176603,-17.214052
-300.2405,127.900444,-23.49656,42.00055,42.983788,28.01327,-4.460555,9.312988,-1.2244226,-14.423386,-9.338247,-5.144092,-20.079746
-276.53915,181.24168,-11.319519,16.58606,13.179895,6.065913,-13.726221,13.8735285,2.8197446,-11.568005,-17.200447,-7.8254623,-13.001572
-387.50778,110.25764,-40.874306,16.81989,16.53125,4.477835,-11.010361,0.8114378,-10.604825,-2.93856,-4.546927,-10.132419,-8.938693
-262.6649,188.94868,-17.081993,9.493684,28.12398,16.241526,-10.0888195,6.2938757,-9.32802,-17.317823,-16.220612,-6.065608,-14.893504
-319.25714,169.2834,-26.495647,11.394941,29.801498,22.84543,-5.658927,1.3252174,-5.636395,-7.203434,-6.0487294,-3.9862175,-14.76659
-264.2891,137.38191,-20.10541,36.007164,24.413803,18.002394,-18.605648,15.922647,-1.7935858,-4.1124454,-11.019086,-1.928001,-21.062965
-276.8586,187.4491,-14.808831,15.031737,30.65254,15.017969,-17.5848,4.8932247,-1.9956508,-9.377445,-8.34421,-1.8912636,-21.107187
-375.7331,133.94716,-29.049746,10.9817,37.328632,15.560112,-7.414813,3.5880404,-5.6277194,-1.5193236,-3.2283146,-1.8428409,-8.744689
-270.7368,178.46988,-17.286211,10.782041,17.113218,4.235667,-15.966736,12.210396,-6.116026,-11.533085,-12.806967,-8.428497,-6.4301057
-294.46985,129.02795,-20.79735,42.285763,36.943214,28.220207,-5.976446,9.6183405,-7.8974633,-7.044247,-11.548396,-2.9554455,-20.080559
-246.3602,183.78717,-11.966054,22.408209,21.479734,-6.829461,-18.084919,16.29524,1.8901498,-12.144846,-18.074102,-7.304341,-14.779088
-333.97263,164.51758,-18.653555,18.42278,24.684477,5.8501263,-9.527813,23.096409,3.4812388,-11.78763,-14.67308,-5.7109876,-10.63591
-354.3675,139.94475,-29.093708,18.406858,14.896215,4.8634806,-4.9906516,8.034924,-10.232178,-2.7809584,-4.255576,-9.941069,-7.0644975
-288.109,202.64574,-12.872687,2.6857343,17.548979,-10.779012,-20.500042,6.5081325,0.58562416,-10.416518,-16.75777,-7.664878,-9.749767
-272.2559,134.61617,-25.964464,39.23952,46.439037,34.863552,-10.940122,6.2950606,-10.968765,-8.732989,-4.1240644,-2.759665,-21.107008
-312.93347,156.476,-7.4649644,26.72502,21.986795,3.4478266,-9.632345,11.001988,-9.757067,-6.012961,-5.299322,-9.940784,-12.320869
-265.21036,185.16997,-18.62226,8.476405,18.781713,1.8339207,-16.269903,9.75741,-5.6405926,-7.495329,-12.266118,-3.9405591,-9.9985285
-295.76617,169.6924,-9.390123,20.289787,23.225119,6.2245646,-10.978264,13.827554,-9.867773,-4.7466264,-8.839094,-4.439017,-15.575446
-341.76434,128.21548,-34.01887,33.03314,28.468243,17.153103,-3.0407915,9.635908,-6.5293665,-1.5414882,-1.1732328,-8.074932,-10.416688
-323.34833,144.10526,-21.321987,17.851933,25.212982,9.986079,-8.370456,5.524988,-0.5790281,-3.039679,-4.678797,-7.7970686,-12.218369
-269.0595,172.30174,-11.545,33.742496,26.37734,0.8973604,-10.397784,18.506887,-11.073454,-6.7695827,-7.54026,-7.028371,-16.241568
-293.11194,173.69992,-3.5020952,27.648848,25.43334,9.167561,-13.862456,21.313879,-12.039947,-6.2896767,-8.481441,-7.638746,-18.320152
-275.8135,178.41595,-11.785756,20.482992,23.24602,-2.054356,-19.061586,18.998728,-4.3545175,-5.2944474,-12.085256,-5.7132134,-13.768982
