0,1,2,3,4,5,6,7,8,9,10,11,12
-409.06067,110.12009,-38.21405,51.418602,-12.394732,47.29953,-13.356775,-2.5677025,8.321276,-19.989939,7.0166216,-10.232911,-3.5080109
-296.41873,152.175,-27.46697,56.860764,2.850489,54.13826,-19.247965,7.1204777,9.023534,-40.875988,2.8164897,-8.897114,-4.725013
-338.52197,121.308876,-34.864925,60.625015,-11.4071865,45.93609,-10.556934,6.935778,14.053137,-19.317604,3.1443152,-12.322894,-0.25549045
-340.96222,108.22983,-42.37469,53.17167,-6.762134,48.185387,-10.330675,8.903593,9.806094,-18.155085,7.5473056,-14.137098,-0.029787363
-323.00928,147.64038,-30.27078,49.30325,-13.190522,38.64685,-24.67714,18.633245,12.8794565,-28.95487,6.1342993,-14.733548,1.5465896
-350.0093,129.9774,-38.394135,46.33325,-14.197675,40.751965,-16.145,13.2126,13.93489,-20.060907,9.467611,-10.565117,5.581198
-363.35968,117.23883,-47.432377,64.46449,-21.421528,51.652477,-15.323181,8.453181,9.276806,-21.518568,8.865583,-11.523794,6.2509904
-296.619,147.74237,-29.054115,47.662827,-21.654207,36.54953,-21.790937,12.083956,13.8367605,-30.209837,0.43546298,-10.639862,6.1945357
-368.7664,126.94474,-46.467285,49.15079,-27.92767,42.361553,-12.661132,15.704841,8.875736,-22.655045,6.073117,-12.509055,10.308477
-312.8342,132.76888,-27.089256,53.393215,-19.57175,39.942963,-21.359047,14.67208,9.774334,-27.855427,5.3974676,-16.845543,2.6520739
-323.71732,123.2428,-27.33634,54.696503,-19.144354,39.498783,-23.65949,13.352482,12.268389,-25.918959,8.22733,-12.860761,2.326818
-306.15973,163.6864,-33.636246,50.76231,-21.66893,38.142494,-25.246258,14.753695,17.134682,-26.854528,5.518625,-11.681833,2.1226716
-306.64853,144.15048,-10.0710945,50.963512,-13.058593,28.454918,-24.45994,13.333352,23.023983,-27.317543,6.427557,-10.457658,-8.618723
-348.6667,128.75357,-29.849184,47.73171,-11.248042,42.386406,-9.939989,8.906483,11.287678,-18.70721,6.049526,-10.947568,0.534008
-358.58487,131.79147,-37.565197,67.9714,-14.255902,47.231068,-11.862664,10.278641,8.905547,-21.056879,8.108916,-13.923451,1.6618801
-310.23032,156.86476,-33.027485,51.36969,-10.46987,36.536682,-20.042418,11.590776,13.600951,-26.752865,6.1161766,-6.5408235,0.20632812
-317.24503,141.09991,-39.128235,81.191505,-29.878315,49.743454,-14.927613,14.669331,12.291665,-25.765688,4.0823298,-18.789022,2.5936303
-331.86365,139.74759,-33.628273,67.07936,-12.259831,52.793503,-23.989967,0.01076536,1.45908,-30.590748,9.077007,-9.099673,-1.7677801
-464.7616,125.613106,-83.23946,80.91404,-53.34392,60.780857,-24.204876,14.288399,7.5420194,-5.3317823,23.950375,-16.554743,9.970658
